Date,Data
1934-01-01,9
1935-01-01,25
1936-01-01,69
1937-01-01,75
1938-01-01,74
1939-01-01,60
1940-01-01,43
1941-01-01,15
1942-01-01,20
1943-01-01,5
1944-01-01,2
1945-01-01,1
1946-01-01,1
1947-01-01,5
1948-01-01,3
1949-01-01,4
1950-01-01,4
1951-01-01,2
1952-01-01,3
1953-01-01,2
1954-01-01,2
1955-01-01,5
1956-01-01,2
1957-01-01,1
1958-01-01,4
1959-01-01,3
1960-01-01,1
1961-01-01,5
1962-01-01,1
1963-01-01,2
1964-01-01,7
1965-01-01,5
1966-01-01,7
1967-01-01,4
1968-01-01,3
1969-01-01,9
1970-01-01,7
1971-01-01,6
1972-01-01,1
1973-01-01,6
1974-01-01,4
1975-01-01,13
1976-01-01,16
1977-01-01,5
1978-01-01,7
1979-01-01,10
1980-01-01,10
1981-01-01,9
1982-01-01,34
1983-01-01,50
1984-01-01,83
1985-01-01,139
1986-01-01,162
1987-01-01,217
1988-01-01,232
1989-01-01,530
1990-01-01,381
1991-01-01,268
1992-01-01,179
1993-01-01,50
1994-01-01,15
1995-01-01,8
1996-01-01,6
1997-01-01,1
1998-01-01,3
1999-01-01,8
2000-01-01,7
2001-01-01,4
2002-01-01,11
2003-01-01,3
2004-01-01,4
2005-01-01,0
2006-01-01,0
2007-01-01,3
2008-01-01,25
2009-01-01,140
2010-01-01,157
2011-01-01,92
2012-01-01,51
2013-01-01,24
2014-01-01,18
2015-01-01,8
2016-01-01,5
2017-01-01,8
2018-01-01,0
2019-01-01,4
2020-01-01,4
