Date,France,Canada,UK,AUS
1960-01-01,0.748178615,0.951,0.35639188,0.89544289
1960-04-01,0.747262397,0.979,0.35678607,0.894481917
1960-07-01,0.747152633,0.972,0.35553027,0.893096707
1960-10-01,0.74777615,0.982,0.35618878,0.892964167
1961-01-01,0.747152633,0.987,0.35744924,0.8960054
1961-04-01,0.747116046,1.005,0.35844863,0.898339387
1961-07-01,0.749835736,1.031,0.35568202,0.89617643
1961-10-01,0.747335572,1.043,0.35592255,0.89216754
1962-01-01,0.747116046,1.049,0.35522716,0.889944
1962-04-01,0.747116046,1.08801,0.35607463,0.891266333
1962-07-01,0.747116046,1.07703,0.3570026,0.893655333
1962-10-01,0.747152633,1.07615,0.35669698,0.893921333
1963-01-01,0.747116046,1.07821,0.35706634,0.890588
1963-04-01,0.747116046,1.07849,0.35704084,0.884454
1963-07-01,0.747152633,1.08003,0.35737259,0.891922333
1963-10-01,0.747152633,1.07958,0.35751313,0.895522667
1964-01-01,0.747152633,1.08068,0.35734705,0.895255
1964-04-01,0.747262397,1.08109,0.35778175,0.888856667
1964-07-01,0.747225809,1.07628,0.3591825,0.899497333
1964-10-01,0.747116046,1.07482,0.35826884,0.898179333
1965-01-01,0.747298985,1.08131,0.35811488,0.896593
1965-04-01,0.747116046,1.08247,0.35810205,0.893261
1965-07-01,0.747298985,1.07657,0.35761542,0.889125333
1965-10-01,0.747225809,1.07597,0.35672243,0.893655
1966-01-01,0.747225809,1.07641,0.35773055,0.895846763
1966-04-01,0.747189221,1.0767,0.35842293,0.899038277
1966-07-01,0.750462302,1.07638,0.35850003,0.899955007
1966-10-01,0.754735448,1.0832,0.35841009,0.899334533
1967-01-01,0.754586048,1.08208,0.35764099,0.89839241
1967-04-01,0.748216728,1.08057,0.358256,0.8978017
1967-07-01,0.747959089,1.0754,0.3592212,0.901117657
1967-10-01,0.747995677,1.08039,0.41552397,0.898188167
1968-01-01,0.750389126,1.08494,0.41668402,0.894190857
1968-04-01,0.758188418,1.07705,0.41932237,0.899477643
