Date,AAA-DGS3,BAA-DGS3
1986-01-01,1.8,3.12
1986-02-01,1.88,2.83
1986-03-01,1.98,3.29
1986-04-01,1.77,3.14
1986-05-01,1.51,2.83
1986-06-01,2.13,3.16
1986-07-01,2.07,3.44
1986-08-01,2.59,3.89
1986-09-01,2.21,3.52
1986-10-01,2.35,3.65
1986-11-01,2.3,3.62
1986-12-01,1.93,3.43
1987-01-01,1.85,3.17
1987-02-01,1.87,3.11
1987-03-01,1.57,2.91
1987-04-01,1.22,2.74
1987-05-01,1.39,2.63
1987-06-01,1.56,2.74
1987-07-01,1.47,2.82
1987-08-01,1.4,2.65
1987-09-01,1.25,2.61
1987-10-01,2.52,3.33
1987-11-01,1.96,3.18
1987-12-01,2.07,3.18
1988-01-01,2.4,3.29
1988-02-01,2.07,3.2
1988-03-01,1.73,3.1
1988-04-01,1.69,2.96
1988-05-01,1.46,2.69
1988-06-01,1.68,2.8
1988-07-01,1.39,2.62
1988-08-01,1.28,2.39
1988-09-01,1.3,1.97
1988-10-01,1.19,1.91
1988-11-01,0.58,1.74
1988-12-01,0.39,1.51
1989-01-01,0.49,1.44
1989-02-01,0.21,1.24
1989-03-01,0.14,0.95
1989-04-01,0.64,1.42
1989-05-01,0.79,1.52
1989-06-01,1.05,1.88
1989-07-01,1.35,2.23
1989-08-01,0.59,1.59
1989-09-01,0.55,1.47
1989-10-01,1.01,1.85
1989-11-01,1.14,2.08
1989-12-01,0.99,1.97
1990-01-01,0.63,1.75
1990-02-01,0.77,1.74
1990-03-01,0.68,1.54
1990-04-01,0.41,1.49
1990-05-01,0.94,1.78
1990-06-01,0.94,1.9
1990-07-01,1.2,2.09
1990-08-01,1.15,2.29
1990-09-01,1.37,2.57
1990-10-01,1.56,2.81
1990-11-01,1.63,2.86
1990-12-01,1.65,3.03
1991-01-01,1.74,3.03
1991-02-01,1.57,2.85
1991-03-01,1.63,2.71
1991-04-01,1.71,2.7
1991-05-01,1.76,2.73
1991-06-01,1.68,2.57
1991-07-01,1.79,2.59
1991-08-01,2.07,2.89
1991-09-01,2.33,3.13
1991-10-01,2.49,3.43
1991-11-01,2.72,3.68
1991-12-01,3.2,3.99
1992-01-01,2.55,3.56
1992-02-01,2.54,3.42
1992-03-01,2.18,3.07
1992-04-01,2.28,3.19
1992-05-01,2.53,3.35
1992-06-01,2.83,3.61
1992-07-01,3.1,3.72
1992-08-01,3.26,3.99
1992-09-01,3.58,4.32
1992-10-01,3.01,4.01
1992-11-01,2.74,3.59
1992-12-01,2.86,3.64
1993-01-01,3.19,3.78
1993-02-01,3.34,3.86
1993-03-01,3.16,3.79
1993-04-01,3.16,3.87
1993-05-01,2.8,3.63
1993-06-01,2.94,3.57
1993-07-01,2.67,3.38
1993-08-01,2.65,3.16
1993-09-01,2.42,3.16
1993-10-01,2.37,3.09
1993-11-01,2.38,3.19
1993-12-01,2.35,3.19
1994-01-01,2.48,3.11
1994-02-01,2.04,2.88
1994-03-01,1.82,2.7
1994-04-01,1.72,2.38
1994-05-01,1.63,2.32
1994-06-01,1.45,2.34
1994-07-01,1.78,2.28
1994-08-01,1.63,2.3
1994-09-01,1.42,2.2
1994-10-01,1.47,2.11
1994-11-01,1.06,1.59
1994-12-01,0.66,1.34
1995-01-01,1.07,1.54
1995-02-01,1.36,1.85
1995-03-01,1.2,1.77
1995-04-01,1.31,1.86
1995-05-01,1.7,2.01
1995-06-01,1.42,2.07
1995-07-01,1.39,2.15
1995-08-01,1.62,2.06
1995-09-01,1.41,1.97
1995-10-01,1.42,2.03
1995-11-01,1.61,2.16
1995-12-01,1.57,2.13
1996-01-01,1.75,2.36
1996-02-01,1.43,2.35
1996-03-01,1.44,2.21
1996-04-01,1.31,2.08
1996-05-01,1.18,1.89
1996-06-01,1.41,1.94
1996-07-01,1.26,1.91
1996-08-01,0.92,1.9
1996-09-01,1.38,1.94
1996-10-01,1.47,1.99
1996-11-01,1.4,2.01
1996-12-01,1.16,1.93
1997-01-01,1.34,1.95
1997-02-01,1.08,1.82
1997-03-01,0.95,1.72
1997-04-01,1.31,1.8
1997-05-01,1.21,1.81
1997-06-01,1.16,1.76
1997-07-01,1.33,1.75
1997-08-01,1.12,1.68
1997-09-01,1.27,1.78
1997-10-01,1.3,1.74
1997-11-01,1.07,1.58
1997-12-01,1.08,1.6
1998-01-01,1.26,1.86
1998-02-01,1.12,1.74
1998-03-01,1.11,1.73
1998-04-01,1.07,1.72
1998-05-01,1.15,1.65
1998-06-01,1.04,1.62
1998-07-01,1.07,1.73
1998-08-01,1.67,2.26
1998-09-01,2.14,2.75
1998-10-01,2.13,3.05
1998-11-01,1.87,2.65
1998-12-01,1.67,2.68
1999-01-01,1.67,2.64
1999-02-01,1.24,2.37
1999-03-01,1.55,2.49
1999-04-01,1.47,2.41
1999-05-01,1.42,2.31
1999-06-01,1.64,2.4
1999-07-01,1.49,2.41
1999-08-01,1.58,2.39
1999-09-01,1.69,2.5
1999-10-01,1.65,2.4
1999-11-01,1.31,2.12
1999-12-01,1.26,1.89
2000-01-01,1.13,1.71
2000-02-01,1.1,1.75
2000-03-01,1.24,1.89
2000-04-01,1,1.93
2000-05-01,1.33,2.15
2000-06-01,1.36,2.12
2000-07-01,1.41,2.07
2000-08-01,1.46,2.15
2000-09-01,1.71,2.43
2000-10-01,1.68,2.46
2000-11-01,1.93,2.6
2000-12-01,2.15,2.94
2001-01-01,2.48,3.14
2001-02-01,2.62,3.32
2001-03-01,2.65,3.64
2001-04-01,2.65,3.53
2001-05-01,2.8,3.59
2001-06-01,2.66,3.55
2001-07-01,3.07,3.79
2001-08-01,3.11,3.84
2001-09-01,3.95,4.8
2001-10-01,4.16,4.81
2001-11-01,3.67,4.58
2001-12-01,3.18,4.33
2002-01-01,2.85,4.22
2002-02-01,2.87,4.22
2002-03-01,2.5,3.92
2002-04-01,2.93,4.12
2002-05-01,3.02,4.33
2002-06-01,3.26,4.62
2002-07-01,3.86,5.09
2002-08-01,3.87,4.96
2002-09-01,4.13,5.37
2002-10-01,4.27,5.7
2002-11-01,3.8,5.09
2002-12-01,4.22,5.32
2003-01-01,4.01,5
2003-02-01,4.04,5.01
2003-03-01,3.96,4.94
2003-04-01,3.79,4.7
2003-05-01,3.64,4.64
2003-06-01,3.31,4.69
2003-07-01,3.16,4.74
2003-08-01,3.37,4.4
2003-09-01,3.77,4.58
2003-10-01,3.34,4.33
2003-11-01,3.09,4.11
2003-12-01,3.25,4.24
2004-01-01,3.19,4
2004-02-01,3.37,4.07
2004-03-01,3.34,4.16
2004-04-01,2.87,3.72
2004-05-01,2.94,3.59
2004-06-01,2.85,3.55
2004-07-01,2.73,3.51
2004-08-01,2.9,3.57
2004-09-01,2.57,3.36
2004-10-01,2.65,3.32
2004-11-01,2.23,3.02
2004-12-01,2.22,2.85
2005-01-01,1.93,2.46
2005-02-01,1.45,2.2
2005-03-01,1.44,2.18
2005-04-01,1.6,2.24
2005-05-01,1.5,2.25
2005-06-01,1.29,2.14
2005-07-01,1,1.89
2005-08-01,1.26,1.96
2005-09-01,0.95,1.97
2005-10-01,0.94,1.99
2005-11-01,1.01,1.97
2005-12-01,1,1.84
2006-01-01,0.8,1.82
2006-02-01,0.68,1.53
2006-03-01,0.7,1.72
2006-04-01,0.97,1.87
2006-05-01,0.92,1.75
2006-06-01,0.76,1.69
2006-07-01,0.92,1.74
2006-08-01,0.97,1.76
2006-09-01,0.89,1.74
2006-10-01,0.89,1.63
2006-11-01,0.81,1.58
2006-12-01,0.58,1.61
2007-01-01,0.55,1.55
2007-02-01,0.84,1.61
2007-03-01,0.76,1.86
2007-04-01,0.93,1.77
2007-05-01,0.59,1.62
2007-06-01,0.9,1.73
2007-07-01,1.18,2.08
2007-08-01,1.63,2.43
2007-09-01,1.71,2.56
2007-10-01,1.72,2.53
2007-11-01,2.35,3.35
2007-12-01,2.42,3.49
2008-01-01,3.06,4.36
2008-02-01,3.66,4.88
2008-03-01,3.72,5.11
2008-04-01,3.06,4.38
2008-05-01,2.64,4.13
2008-06-01,2.77,4.13
2008-07-01,2.86,4.4
2008-08-01,3.04,4.52
2008-09-01,3.37,5.57
2008-10-01,4.48,7.74
2008-11-01,4.85,7.76
2008-12-01,4.05,7.07
2009-01-01,3.73,6.93
2009-02-01,3.87,6.84
2009-03-01,4.35,7.3
2009-04-01,4.01,6.86
2009-05-01,4.12,6.34
2009-06-01,3.97,5.53
2009-07-01,3.79,5.01
2009-08-01,3.77,4.89
2009-09-01,3.68,4.72
2009-10-01,3.72,4.84
2009-11-01,4.07,5.08
2009-12-01,3.56,4.69
2010-01-01,3.88,4.82
2010-02-01,3.99,4.87
2010-03-01,3.67,4.71
2010-04-01,3.78,4.56
2010-05-01,3.7,4.94
2010-06-01,3.88,5.05
2010-07-01,3.88,5.01
2010-08-01,3.77,4.76
2010-09-01,3.89,4.94
2010-10-01,4.17,5.27
2010-11-01,4.15,5.12
2010-12-01,4,4.96
2011-01-01,4.06,5.12
2011-02-01,4.04,4.81
2011-03-01,3.84,4.76
2011-04-01,4.15,4.89
2011-05-01,4.17,4.91
2011-06-01,4.18,5.09
2011-07-01,4.38,5.04
2011-08-01,4.04,5.15
2011-09-01,3.67,4.8
2011-10-01,3.57,4.78
2011-11-01,3.46,4.91
2011-12-01,3.57,4.8
2012-01-01,3.55,4.77
2012-02-01,3.42,4.65
2012-03-01,3.48,4.79
2012-04-01,3.58,4.77
2012-05-01,3.45,4.64
2012-06-01,3.23,4.65
2012-07-01,3.1,4.48
2012-08-01,3.18,4.48
2012-09-01,3.18,4.41
2012-10-01,3.09,4.07
2012-11-01,3.16,4.23
2012-12-01,3.29,4.27
2013-01-01,3.38,4.42
2013-02-01,3.54,4.42
2013-03-01,3.57,4.47
2013-04-01,3.41,4.21
2013-05-01,3.37,4.43
2013-06-01,3.61,4.69
2013-07-01,3.73,4.67
2013-08-01,3.75,4.55
2013-09-01,4.01,4.76
2013-10-01,3.96,4.65
2013-11-01,4.07,4.8
2013-12-01,3.84,4.59
2014-01-01,3.8,4.38
2014-02-01,3.76,4.32
2014-03-01,3.48,4.09
2014-04-01,3.37,3.96
2014-05-01,3.37,3.91
2014-06-01,3.37,3.83
2014-07-01,3.14,3.73
2014-08-01,3.14,3.64
2014-09-01,3.04,3.74
2014-10-01,2.97,3.79
2014-11-01,3.04,3.82
2014-12-01,2.69,3.58
2015-01-01,2.69,3.52
2015-02-01,2.6,3.45
2015-03-01,2.75,3.6
2015-04-01,2.61,3.74
2015-05-01,3.04,3.9
2015-06-01,3.18,4.17
2015-07-01,3.15,4.14
2015-08-01,2.97,4.29
2015-09-01,3.15,4.43
2015-10-01,2.9,4.3
2015-11-01,2.82,4.17
2015-12-01,2.66,4.19
2016-01-01,3.03,4.45
2016-02-01,3.05,4.38
2016-03-01,2.95,4.03
2016-04-01,2.7,3.77
2016-05-01,2.62,3.65
2016-06-01,2.79,3.7
2016-07-01,2.52,3.41
2016-08-01,2.4,3.27
2016-09-01,2.53,3.41
2016-10-01,2.51,3.45
2016-11-01,2.46,3.42
2016-12-01,2.59,3.26
