Date,GDP
1959-07-01,11.04286
1959-10-01,11.05157
1960-01-01,11.126
1960-04-01,11.15322
1960-07-01,11.15555
1960-10-01,11.15365
1961-01-01,11.15655
1961-04-01,11.14542
1961-07-01,11.13833
1961-10-01,11.14973
1962-01-01,11.17733
1962-04-01,11.19624
1962-07-01,11.20437
1962-10-01,11.22225
1963-01-01,11.24499
1963-04-01,11.23183
1963-07-01,11.27217
1963-10-01,11.29341
1964-01-01,11.29172
1964-04-01,11.316
1964-07-01,11.32229
1964-10-01,11.35035
1965-01-01,11.35865
1965-04-01,11.37412
1965-07-01,11.37126
1965-10-01,11.37374
1966-01-01,11.37079
1966-04-01,11.38432
1966-07-01,11.41228
1966-10-01,11.41889
1967-01-01,11.45712
1967-04-01,11.4556
1967-07-01,11.47428
1967-10-01,11.483
1968-01-01,11.47401
1968-04-01,11.5117
1968-07-01,11.5249
1968-10-01,11.56156
1969-01-01,11.55457
1969-04-01,11.57411
1969-07-01,11.59061
1969-10-01,11.61345
1970-01-01,11.634
1970-04-01,11.65383
1970-07-01,11.65177
1970-10-01,11.65658
1971-01-01,11.66859
1971-04-01,11.67282
1971-07-01,11.70378
1971-10-01,11.70061
1972-01-01,11.68837
1972-04-01,11.71046
1972-07-01,11.70543
1972-10-01,11.71602
1973-01-01,11.74148
1973-04-01,11.74333
1973-07-01,11.75341
1973-10-01,11.77812
1974-01-01,11.77825
1974-04-01,11.75772
1974-07-01,11.76961
1974-10-01,11.77067
1975-01-01,11.77456
1975-04-01,11.80558
1975-07-01,11.7946
1975-10-01,11.77947
1976-01-01,11.82263
1976-04-01,11.82567
1976-07-01,11.83376
1976-10-01,11.84252
1977-01-01,11.837
1977-04-01,11.85101
1977-07-01,11.84676
1977-10-01,11.84367
1978-01-01,11.85065
1978-04-01,11.85879
1978-07-01,11.8739
1978-10-01,11.88227
1979-01-01,11.90923
1979-04-01,11.893
1979-07-01,11.90228
1979-10-01,11.92151
1980-01-01,11.9259
1980-04-01,11.92846
1980-07-01,11.93375
1980-10-01,11.95095
1981-01-01,11.9547
1981-04-01,11.97004
1981-07-01,11.98995
1981-10-01,11.98606
1982-01-01,11.97778
1982-04-01,11.98676
1982-07-01,11.98001
1982-10-01,11.96417
1983-01-01,11.95402
1983-04-01,11.95217
1983-07-01,11.97967
1983-10-01,11.99631
1984-01-01,12.02109
1984-04-01,12.03225
1984-07-01,12.0407
1984-10-01,12.0477
1985-01-01,12.06206
1985-04-01,12.08393
1985-07-01,12.09736
1985-10-01,12.0949
1986-01-01,12.10126
1986-04-01,12.09948
1986-07-01,12.1023
1986-10-01,12.11874
1987-01-01,12.12825
1987-04-01,12.14386
1987-07-01,12.16183
1987-10-01,12.18191
1988-01-01,12.18615
1988-04-01,12.18687
1988-07-01,12.195
1988-10-01,12.21069
1989-01-01,12.22079
1989-04-01,12.24166
1989-07-01,12.25005
1989-10-01,12.24734
1990-01-01,12.25525
1990-04-01,12.25651
1990-07-01,12.25079
1990-10-01,12.2567
1991-01-01,12.2437
1991-04-01,12.24206
1991-07-01,12.2464
1991-10-01,12.24701
1992-01-01,12.25462
1992-04-01,12.26175
1992-07-01,12.27159
1992-10-01,12.29208
1993-01-01,12.29914
1993-04-01,12.30496
1993-07-01,12.30619
1993-10-01,12.32439
1994-01-01,12.34059
1994-04-01,12.3525
1994-07-01,12.36019
1994-10-01,12.37058
1995-01-01,12.37098
1995-04-01,12.37499
1995-07-01,12.3973
1995-10-01,12.39704
1996-01-01,12.41335
1996-04-01,12.42019
1996-07-01,12.4279
1996-10-01,12.4371
1997-01-01,12.44329
1997-04-01,12.47259
1997-07-01,12.474
1997-10-01,12.48836
1998-01-01,12.49507
1998-04-01,12.5042
1998-07-01,12.52291
1998-10-01,12.53782
1999-01-01,12.54523
1999-04-01,12.54845
1999-07-01,12.55994
1999-10-01,12.57685
2000-01-01,12.58088
2000-04-01,12.59022
2000-07-01,12.5927
2000-10-01,12.58906
2001-01-01,12.59944
2001-04-01,12.60754
2001-07-01,12.61942
2001-10-01,12.63143
2002-01-01,12.63907
2002-04-01,12.65601
2002-07-01,12.65904
2002-10-01,12.66717
2003-01-01,12.66919
2003-04-01,12.67334
2003-07-01,12.69056
2003-10-01,12.70683
2004-01-01,12.71465
2004-04-01,12.72126
2004-07-01,12.72896
2004-10-01,12.73645
2005-01-01,12.74406
2005-04-01,12.74844
2005-07-01,12.75963
2005-10-01,12.76723
2006-01-01,12.76835
2006-04-01,12.7704
2006-07-01,12.78525
2006-10-01,12.79802
2007-01-01,12.81192
2007-04-01,12.8181
2007-07-01,12.82959
2007-10-01,12.83359
2008-01-01,12.84386
2008-04-01,12.84705
2008-07-01,12.85414
2008-10-01,12.84938
2009-01-01,12.85852
2009-04-01,12.86606
2009-07-01,12.86906
2009-10-01,12.87653
2010-01-01,12.88084
2010-04-01,12.88762
2010-07-01,12.89465
2010-10-01,12.90337
2011-01-01,12.90037
2011-04-01,12.91326
2011-07-01,12.92673
2011-10-01,12.93742
2012-01-01,12.94682
2012-04-01,12.95426
2012-07-01,12.96023
2012-10-01,12.96502
2013-01-01,12.96926
2013-04-01,12.97356
2013-07-01,12.9814
2013-10-01,12.9894
2014-01-01,12.99691
2014-04-01,13.00151
2014-07-01,13.0063
