Date,3Month,EMVOVERALLEMV_NBD20081001,EM,Baa,Aaa
1990-01-01,8,25.61492,2.561492,1.68,0.72
1990-02-01,8.04,31.71763,3.171763,1.68,0.74
1990-03-01,8.07,25.26096,2.526096,1.58,0.74
1990-04-01,8.07,22.80855,2.280855,1.5,0.59
1990-05-01,8.01,17.32664,1.732664,1.71,0.77
1990-06-01,8,19.23223,1.923223,1.79,0.81
1990-07-01,7.74,26.15018,2.615018,1.77,0.85
1990-08-01,7.63,26.38396,2.638396,1.69,0.72
1990-09-01,7.37,24.99991,2.499991,1.94,0.78
1990-10-01,7.34,30.10628,3.010628,2.13,0.84
1990-11-01,7.24,21.88572,2.188572,2.27,0.91
1990-12-01,6.63,23.37069,2.337069,2.35,0.97
1991-01-01,6.37,29.68852,2.968852,2.3,0.96
1991-02-01,6.22,26.32518,2.632518,2.09,0.84
1991-03-01,5.92,19.60387,1.960387,1.96,0.85
1991-04-01,5.68,22.35343,2.235343,1.83,0.81
1991-05-01,5.71,19.96437,1.996437,1.77,0.82
1991-06-01,5.71,21.29071,2.129071,1.66,0.78
1991-07-01,5.7,21.67871,2.167871,1.6,0.73
1991-08-01,5.49,19.70121,1.970121,1.75,0.87
1991-09-01,5.26,19.62767,1.962767,1.94,1.06
1991-10-01,4.96,20.28543,2.028543,2.02,1.1
1991-11-01,4.47,27.73483,2.773483,2.06,1.06
1991-12-01,3.96,21.37388,2.137388,2.39,1.45
1992-01-01,3.94,29.78462,2.978462,1.9,0.96
1992-02-01,4.03,23.87008,2.387008,1.9,1
1992-03-01,4.15,22.91113,2.291113,1.7,0.83
1992-04-01,3.79,26.20959,2.620959,1.63,0.78
1992-05-01,3.79,20.87044,2.087044,1.77,0.9
1992-06-01,3.65,21.72401,2.172401,1.86,1.04
1992-07-01,3.25,25.19356,2.519356,1.97,1.28
1992-08-01,3.23,17.23059,1.723059,2.06,1.34
1992-09-01,2.75,21.14004,2.114004,2.29,1.57
1992-10-01,3.03,25.52084,2.552084,2.19,1.29
1992-11-01,3.38,20.89899,2.089899,2,1.13
1992-12-01,3.15,15.92919,1.592919,2.06,1.21
1993-01-01,2.96,20.44788,2.044788,2.11,1.41
1993-02-01,3.01,22.87887,2.287887,2.2,1.58
1993-03-01,2.95,22.2065,2.22065,2.18,1.6
1993-04-01,2.97,20.30392,2.030392,2.12,1.36
1993-05-01,3.13,21.53628,2.153628,2.1,1.3
1993-06-01,3.1,21.22537,2.122537,2.16,1.44
1993-07-01,3.1,20.49621,2.049621,2.05,1.25
1993-08-01,3.08,25.48574,2.548574,1.91,1.2
1993-09-01,2.98,23.0355,2.30355,2,1.33
1993-10-01,3.1,18.80521,1.880521,1.96,1.29
1993-11-01,3.21,19.57596,1.957596,1.91,1.16
1993-12-01,3.07,18.16098,1.816098,1.94,1.17
1994-01-01,3.05,23.24409,2.324409,1.85,1.15
1994-02-01,3.47,19.25204,1.925204,1.77,1.1
1994-03-01,3.56,27.88113,2.788113,1.59,0.95
1994-04-01,3.97,37.56678,3.756678,1.48,0.84
1994-05-01,4.31,25.15674,2.515674,1.51,0.86
