Date,US-Rate,US-Inflation,UK-Rate,UK-Inflation,AUS-Rate,AUS-Inflation,NZ-Inflation,NZ-Rate
1960-01-01,4,1.51881,5,,,,,
1960-04-01,3.5,1.71762,6,,,,,
1960-07-01,3,1.23077,6,,,,,
1960-10-01,3,1.36008,5,,,,,
1961-01-01,2,1.46209,5,2.73473,,4,1.57205,
1961-04-01,0.5,0.77676,5,3.33634,,3.94737,1.39494,
1961-07-01,1.5,1.24958,7,4.52489,,1.2987,2.07433,
1961-10-01,2.5,0.67092,6,4.3672,,0,2.14041,
1962-01-01,2.75,1.1059,5,4.78039,,0,2.92347,
1962-04-01,2.75,1.23995,4.5,5.50393,,-1.26582,3.26741,
1962-07-01,2.75,1.46765,4.5,3.25758,,0,2.45555,
1962-10-01,3,1.23292,4.5,2.64944,,0,2.09555,
1963-01-01,3,1.12695,4,3.18408,,0,1.83793,
1963-04-01,3,1.32406,4,0.97182,,0,1.91507,
1963-07-01,3.5,0.98619,4,1.7734,,1.28205,1.90083,
1963-10-01,3.25,1.64582,4,1.85728,,1.28205,2.21675,
1964-01-01,3.5,1.40937,5,1.44648,,2.5641,2.54307,
1964-04-01,3.5,1.30676,5,3.36862,,2.5641,3.02287,
1964-07-01,2.75,1.17188,5,4.35624,,2.53165,3.81184,
1964-10-01,4,1.19819,7,4.79846,,3.79747,4.49799,
1965-01-01,4,1.19586,7,4.46768,,2.5,4.32,
1965-04-01,4.13,1.93486,6,4.93482,,3.75,3.5686,
1965-07-01,4.13,1.73745,6,4.82375,,3.7037,3.35938,
1965-10-01,4.63,1.92,6,4.48718,,3.65854,2.38278,
1966-01-01,4.75,2.77866,6,4.27662,,4.87805,2.83773,
1966-04-01,5.5,2.43594,6,3.90417,,3.61446,3.28484,
1966-07-01,5.75,3.57369,7,3.62832,,2.38095,2.5545,
1966-10-01,5,3.3595,7,3.68098,,2.35294,2.35556,
1967-01-01,4.5,2.54817,6,3.4904,,2.32558,4.21982,
1967-04-01,3.5,2.84126,5.5,2.39112,,3.48837,6.43902,
1967-07-01,3.75,2.59542,5.5,1.45175,,4.65116,6.98351,
1967-10-01,4.5,3.28068,8,2.45139,,3.44828,6.56371,
1968-01-01,5.25,3.93939,7.5,3.37268,5.15,3.40909,4.99058,
1968-04-01,5.5,4.2042,7.5,4.58716,5.5,2.24719,3.5747,
1968-07-01,5.5,4.46429,7,5.89226,5.05,2.22222,3.62647,
1968-10-01,4,4.70588,7,5.94059,4.9,2.22222,5.07246,
1969-01-01,6.25,5.24781,8,6.28059,5.15,3.2967,5.47085,
1969-04-01,7.5,5.4755,8,5.3429,5.9,3.2967,5.22124,
1969-07-01,8.5,5.69801,8,5.08744,5.8,3.26087,5.07437,
1969-10-01,5,5.89888,8,4.6729,5.65,3.26087,3.96552,
1970-01-01,7.5,6.09418,7.5,5.14198,7.15,2.12766,4.76191,
1970-04-01,5.75,6.01093,7,5.90462,8.7,3.19149,5.21447,
1970-07-01,5,5.66038,7,7.0348,6.35,3.15789,6.07827,
1970-10-01,3,5.57029,7,7.8869,6.5,5.26316,9.95025,
1971-01-01,4.5,4.43864,7,8.75912,8,5.20833,10.30844,
1971-04-01,4.75,4.38144,6,10.29307,8.15,5.15464,11.03117,
1971-07-01,5.38,4.08163,5,9.89399,6.45,7.14286,11.146,
1971-10-01,3,3.26633,5,9.03448,5.9,7,9.12519,
1972-01-01,4,3.5,5,7.58389,5.5,6.93069,8.46211,
