Date,US,UK,Japan,AUS,NZ
1961-01-01,1.36054,2.73473,4.25963,4,1.57205
1961-04-01,0.67568,3.33634,3.61083,3.94737,1.39494
1961-07-01,1.35135,4.52489,5.13834,1.2987,2.07433
1961-10-01,0.67114,4.3672,9.00099,0,2.14041
1962-01-01,1.00671,4.78039,7.68482,0,2.92347
1962-04-01,1.34228,5.50393,8.51888,-1.26582,3.26741
1962-07-01,1.33333,3.25758,6.01504,0,2.45555
1962-10-01,1.33333,2.64944,4.90018,0,2.09555
1963-01-01,1.3289,3.18408,7.1033,0,1.83793
1963-04-01,1.3245,0.97182,7.89998,0,1.91507
1963-07-01,0.98684,1.7734,8.29091,1.28205,1.90083
1963-10-01,1.64474,1.85728,5.323,1.28205,2.21675
1964-01-01,1.31148,1.44648,3.13901,2.5641,2.54307
1964-04-01,1.30719,3.36862,2.52747,2.5641,3.02287
1964-07-01,1.30293,4.35624,3.37323,2.53165,3.81184
1964-10-01,0.97087,4.79846,4.69432,3.79747,4.49799
1965-01-01,1.2945,4.46768,6.95652,2.5,4.32
1965-04-01,1.93548,4.93482,6.85959,3.75,3.5686
1965-07-01,1.60772,4.82375,6.42105,3.7037,3.35938
1965-10-01,1.92308,4.48718,6.46507,3.65854,2.38278
1966-01-01,2.55591,4.27662,5.99593,4.87805,2.83773
1966-04-01,2.53165,3.90417,5.31595,3.61446,3.28484
1966-07-01,3.48101,3.62832,4.54995,2.38095,2.5545
1966-10-01,3.45912,3.68098,4.40744,2.35294,2.35556
1967-01-01,2.80374,3.4904,4.02685,2.32558,4.21982
1967-04-01,2.77778,2.39112,2.38095,3.48837,6.43902
1967-07-01,2.75229,1.45175,4.06812,4.65116,6.98351
1967-10-01,3.03951,2.45139,5.62852,3.44828,6.56371
1968-01-01,3.93939,3.37268,5.25346,3.40909,4.99058
1968-04-01,4.2042,4.58716,5.5814,2.24719,3.5747
1968-07-01,4.46429,5.89226,6.45455,2.22222,3.62647
1968-10-01,4.71976,5.94059,3.90764,2.22222,5.07246
1969-01-01,5.24781,6.28059,3.85289,3.2967,5.47085
1969-04-01,5.4755,5.3429,5.81498,3.2967,5.22124
1969-07-01,5.69801,5.08744,5.55081,3.26087,5.07437
1969-10-01,6.19718,4.6729,6.41026,3.26087,3.96552
1970-01-01,5.81717,5.14198,7.7171,2.12766,4.76191
1970-04-01,6.01093,5.90462,7.06699,3.19149,5.21447
1970-07-01,5.66038,7.0348,5.38627,3.15789,6.07827
1970-10-01,5.57029,7.8869,6.97178,5.26316,9.95025
1971-01-01,4.71204,8.75912,5.55556,5.20833,10.30844
1971-04-01,4.63918,10.29307,6.81818,5.15464,11.03117
1971-07-01,4.08163,9.89399,8.01282,7.14286,11.146
1971-10-01,3.26633,9.03448,5.01567,7,9.12519
1972-01-01,3.5,7.58389,5.26316,6.93069,8.46211
1972-04-01,2.70936,6.09203,4.86322,6.86275,7.41541
1972-07-01,3.18627,7.00965,3.85757,5.71429,6.49718
1972-10-01,3.40633,7.65338,5.67164,4.6729,5.45957
1973-01-01,4.58937,8.17218,8.52941,5.55556,5.97015
1973-04-01,5.9952,9.28528,11.01449,8.25688,7.57373
1973-07-01,7.36342,9.25481,14.28571,9.90991,8.88594
1973-10-01,8.70588,10.57579,18.0791,12.5,10.15727
1974-01-01,10.39261,13.4872,22.76423,14.03509,10.3073
1974-04-01,10.85973,16.53807,22.45431,14.40678,9.96885
1974-07-01,11.9469,17.10561,22.5,16.39344,11.51035
1974-10-01,12.33766,19.13613,21.05263,16.66667,12.55205
1975-01-01,10.25105,21.1501,14.12804,17.69231,13.21254
1975-04-01,9.38776,26.12695,12.79318,17.03704,14.91354
1975-07-01,7.90514,26.57658,10.40816,11.97183,14.80131
1975-10-01,6.93642,24.89307,8.10277,14.28571,15.7
1976-01-01,6.07211,21.15849,8.89749,13.0719,17.1678
1976-04-01,5.97015,13.78556,9.4518,12.02532,17.72388
1976-07-01,5.49451,14.30605,9.79667,13.83648,17.19172
1976-10-01,4.86486,15.06849,10.42048,14.28571,15.64391
1977-01-01,6.44007,16.73307,9.41385,13.2948,13.65894
1977-04-01,6.8662,17.69231,8.80829,13.55932,14.02536
