Date,Inflation,M2
1960-01-01,0,0.50369
1960-04-01,0.68004,1.00234
1960-07-01,0,2.01786
1960-10-01,0.67545,1.29702
1961-01-01,0.10064,1.8886
1961-04-01,0,1.88501
1961-07-01,0.46917,1.60345
1961-10-01,0.10007,1.82094
1962-01-01,0.53316,2.26528
1962-04-01,0.13258,1.80705
1962-07-01,0.69513,1.60321
1962-10-01,-0.13149,2.1978
1963-01-01,0.42791,2.20568
1963-04-01,0.32776,2.07715
1963-07-01,0.35936,2.00846
1963-10-01,0.52083,1.86528
1964-01-01,0.1943,1.67854
1964-04-01,0.22624,1.82591
1964-07-01,0.22573,2.40727
1964-10-01,0.54698,1.87095
1965-01-01,0.192,2.00141
1965-04-01,0.95816,1.5928
1965-07-01,0.03164,2.13588
1965-10-01,0.72739,2.15795
1966-01-01,1.03611,1.74216
1966-04-01,0.6215,0.85616
1966-07-01,1.14268,0.89134
1966-10-01,0.51908,1.00968
1967-01-01,0.24301,1.97834
1967-04-01,0.90909,2.51174
1967-07-01,0.9009,2.52988
1967-10-01,1.19048,1.96231
1968-01-01,0.88235,1.60061
1968-04-01,1.16618,1.76294
1968-07-01,1.15274,2.02728
1968-10-01,1.4245,2.38439
1969-01-01,1.40449,1.34086
1969-04-01,1.38504,0.71379
1969-07-01,1.36612,0.6223
1969-10-01,1.61725,0.99639
1970-01-01,1.59151,-0.10206
1970-04-01,1.30548,1.34514
1970-07-01,1.03093,2.68817
1970-10-01,1.53061,2.50327
1971-01-01,0.50251,3.73504
1971-04-01,1.25,3.55439
1971-07-01,0.74074,2.89747
1971-10-01,0.73529,2.5704
1972-01-01,0.72993,3.26623
1972-04-01,0.72464,2.20859
1972-07-01,0.95923,3.81486
1972-10-01,0.95012,3.08364
1973-01-01,2.11765,1.62034
1973-04-01,1.84332,2.20778
1973-07-01,2.26244,0.72003
1973-10-01,2.43363,1.93018
1974-01-01,3.23974,1.7066
1974-04-01,2.51046,0.88496
1974-07-01,3.26531,1.1506
1974-10-01,2.56917,1.59928
